[init] compiling model with torch.compile...
[init] model compiled, starting data generator...
[train] starting training loop, 150000 micro-steps
step    10 | loss 10.7451 | lr 8.57e-06 | 35851 tok/s
step    20 | loss 9.2570 | lr 1.71e-05 | 49522 tok/s
step    30 | loss 8.6571 | lr 2.57e-05 | 49524 tok/s
step    40 | loss 8.5666 | lr 3.43e-05 | 49521 tok/s
step    50 | loss 8.1901 | lr 4.29e-05 | 49530 tok/s
step    60 | loss 7.7319 | lr 5.14e-05 | 49536 tok/s
step    70 | loss 7.2840 | lr 6.00e-05 | 49539 tok/s
step    80 | loss 6.6286 | lr 6.86e-05 | 49537 tok/s
step    90 | loss 6.6439 | lr 7.71e-05 | 49540 tok/s
step   100 | loss 7.0991 | lr 8.57e-05 | 49544 tok/s
step   110 | loss 6.9040 | lr 9.43e-05 | 49537 tok/s
step   120 | loss 5.4756 | lr 1.03e-04 | 49536 tok/s
step   130 | loss 5.9407 | lr 1.11e-04 | 49537 tok/s
step   140 | loss 6.2805 | lr 1.20e-04 | 49542 tok/s
step   150 | loss 5.4469 | lr 1.29e-04 | 49544 tok/s
step   160 | loss 6.0577 | lr 1.37e-04 | 49544 tok/s
step   170 | loss 5.2475 | lr 1.46e-04 | 49541 tok/s
step   180 | loss 6.2119 | lr 1.54e-04 | 49544 tok/s
[data] epoch 0 complete, starting epoch 1
step   190 | loss 5.5958 | lr 1.63e-04 | 42273 tok/s
step   200 | loss 5.9749 | lr 1.71e-04 | 49537 tok/s
step   210 | loss 5.3369 | lr 1.80e-04 | 49531 tok/s
step   220 | loss 5.5057 | lr 1.89e-04 | 49535 tok/s
step   230 | loss 5.5663 | lr 1.97e-04 | 49535 tok/s
step   240 | loss 4.9014 | lr 2.06e-04 | 49536 tok/s
step   250 | loss 5.6711 | lr 2.14e-04 | 49537 tok/s
step   260 | loss 5.4489 | lr 2.23e-04 | 49534 tok/s
step   270 | loss 5.0756 | lr 2.31e-04 | 49538 tok/s
step   280 | loss 4.8454 | lr 2.40e-04 | 49540 tok/s
step   290 | loss 4.9987 | lr 2.49e-04 | 49542 tok/s
step   300 | loss 5.5289 | lr 2.57e-04 | 49532 tok/s
step   310 | loss 5.0127 | lr 2.66e-04 | 49534 tok/s
step   320 | loss 4.2933 | lr 2.74e-04 | 49533 tok/s
step   330 | loss 5.2188 | lr 2.83e-04 | 49533 tok/s
step   340 | loss 4.6214 | lr 2.91e-04 | 49511 tok/s
step   350 | loss 5.0853 | lr 3.00e-04 | 49476 tok/s
[data] epoch 1 complete, starting epoch 2
step   360 | loss 4.9004 | lr 3.09e-04 | 42555 tok/s
step   370 | loss 4.8319 | lr 3.17e-04 | 49540 tok/s
step   380 | loss 4.7333 | lr 3.26e-04 | 49536 tok/s
step   390 | loss 4.8816 | lr 3.34e-04 | 49530 tok/s
step   400 | loss 4.5318 | lr 3.43e-04 | 49534 tok/s
step   410 | loss 4.4902 | lr 3.51e-04 | 49534 tok/s
step   420 | loss 4.0369 | lr 3.60e-04 | 49542 tok/s
step   430 | loss 4.3549 | lr 3.69e-04 | 49538 tok/s
step   440 | loss 3.9044 | lr 3.77e-04 | 49536 tok/s
step   450 | loss 4.0180 | lr 3.86e-04 | 49538 tok/s
step   460 | loss 4.1631 | lr 3.94e-04 | 49468 tok/s
step   470 | loss 4.1690 | lr 4.03e-04 | 49535 tok/s
step   480 | loss 4.1938 | lr 4.11e-04 | 49537 tok/s
step   490 | loss 4.4161 | lr 4.20e-04 | 49536 tok/s
step   500 | loss 3.9244 | lr 4.29e-04 | 49538 tok/s
step   510 | loss 4.1819 | lr 4.37e-04 | 49528 tok/s
step   520 | loss 4.5055 | lr 4.46e-04 | 49530 tok/s
step   530 | loss 4.1536 | lr 4.54e-04 | 49536 tok/s
step   540 | loss 4.0262 | lr 4.63e-04 | 49529 tok/s
[data] epoch 2 complete, starting epoch 3
step   550 | loss 4.0664 | lr 4.71e-04 | 43513 tok/s
step   560 | loss 4.2163 | lr 4.80e-04 | 49533 tok/s
step   570 | loss 4.4732 | lr 4.89e-04 | 49531 tok/s
step   580 | loss 3.9018 | lr 4.97e-04 | 49534 tok/s
step   590 | loss 3.8475 | lr 5.06e-04 | 49532 tok/s
step   600 | loss 3.9738 | lr 5.14e-04 | 49532 tok/s
step   610 | loss 3.8006 | lr 5.23e-04 | 49532 tok/s
step   620 | loss 4.3806 | lr 5.31e-04 | 49533 tok/s
step   630 | loss 3.6080 | lr 5.40e-04 | 49536 tok/s
step   640 | loss 3.5668 | lr 5.49e-04 | 49536 tok/s
step   650 | loss 3.7072 | lr 5.57e-04 | 49535 tok/s
step   660 | loss 3.7152 | lr 5.66e-04 | 49534 tok/s
step   670 | loss 3.9997 | lr 5.74e-04 | 49534 tok/s
step   680 | loss 3.2032 | lr 5.83e-04 | 49536 tok/s
step   690 | loss 3.8559 | lr 5.91e-04 | 49537 tok/s
step   700 | loss 3.3729 | lr 6.00e-04 | 49534 tok/s
step   710 | loss 3.3995 | lr 6.00e-04 | 49539 tok/s
step   720 | loss 3.2961 | lr 6.00e-04 | 49538 tok/s
[data] epoch 3 complete, starting epoch 4
step   730 | loss 3.4863 | lr 6.00e-04 | 42565 tok/s
step   740 | loss 3.7806 | lr 6.00e-04 | 49534 tok/s
step   750 | loss 3.9708 | lr 6.00e-04 | 49537 tok/s
step   760 | loss 3.3557 | lr 6.00e-04 | 49510 tok/s
step   770 | loss 3.0697 | lr 6.00e-04 | 49456 tok/s
step   780 | loss 3.5251 | lr 6.00e-04 | 49493 tok/s
step   790 | loss 2.7621 | lr 6.00e-04 | 49527 tok/s
step   800 | loss 4.4509 | lr 6.00e-04 | 49537 tok/s
step   810 | loss 3.7733 | lr 6.00e-04 | 49539 tok/s
step   820 | loss 3.3170 | lr 6.00e-04 | 49532 tok/s
step   830 | loss 2.9892 | lr 6.00e-04 | 49529 tok/s
step   840 | loss 3.3477 | lr 6.00e-04 | 49537 tok/s
step   850 | loss 3.4338 | lr 6.00e-04 | 49536 tok/s
step   860 | loss 3.5035 | lr 6.00e-04 | 49536 tok/s
step   870 | loss 3.3560 | lr 6.00e-04 | 49539 tok/s
step   880 | loss 3.4120 | lr 6.00e-04 | 49536 tok/s
step   890 | loss 3.0877 | lr 6.00e-04 | 49537 tok/s
step   900 | loss 2.7304 | lr 6.00e-04 | 49538 tok/s
[data] epoch 4 complete, starting epoch 5
step   910 | loss 2.8151 | lr 6.00e-04 | 42042 tok/s
step   920 | loss 2.3039 | lr 6.00e-04 | 49542 tok/s
step   930 | loss 2.5883 | lr 6.00e-04 | 49530 tok/s
step   940 | loss 3.1565 | lr 6.00e-04 | 49536 tok/s
step   950 | loss 3.2915 | lr 6.00e-04 | 49538 tok/s
step   960 | loss 3.6019 | lr 6.00e-04 | 49534 tok/s
step   970 | loss 2.7646 | lr 6.00e-04 | 49539 tok/s
step   980 | loss 3.0087 | lr 5.99e-04 | 49535 tok/s
